Text,Keyword,Source
【幸福吉林 美好长春丨拆围透绿焕新颜   公共空间拓新境】时隔22年，长春人民广场正式重新对外开放。伴随广场焕新，周边三大重要单位院落——中国共产党长春市纪律检查委员会、长春市公安局、中国人民银行吉林省分行同步完成“拆围透绿”改造工程。三处院落立足各自历史背景与功能定位，通过拆除围墙、 ​  展开c,长春老建筑 拆除,新浪微博总盘
#全国网络名人探寻和传播吉林近现代史#今年是中国人民抗日战争胜利八十周年，长春新民大街历史建筑群作为伪满洲国时期的重要遗存，其建筑形态深刻反映了东亚近代化进程中的日本侵略者昔年在中国东北的文化、技术及意识形态上的入侵#针眼窥史# 如伪满国务院旧址（今天的吉大基础医学部）呈现出显著的中 ​  展开c,长春老建筑 拆除,新浪微博总盘
城市改造：长春人民广场有新变化 L吉视守望都市的微博视频 ​,长春老建筑 拆除,新浪微博总盘
#央媒看吉林# 【观长白丨百年老街如何演绎“三退三进”】长春市新民大街，一条有着近百年历史的街区。作为吉林省首条“中国历史文化名街”，新民大街两侧有10余处院落，其中5处是全国重点文物保护单位。（人民网—吉林频道）O网页链接 L吉林日报的微博视频 ​,长春老建筑 拆除,新浪微博总盘
【长春新民大街，不只翻新更是重塑】来源：时评人刘凤凯）#长春网红打卡地##长春就是长春# L长春发布的微博视频  ​,长春老建筑 拆除,新浪微博总盘
【新闻深一度 | #新民大街#：焕新传承，百年老街的双面精彩】#藏在吉林22℃的夏天# （记者：李晓静 徐铭泽 一审：邹乃硕 二审：李晓静 三审：贾艳玲） L吉林日报的微博视频 ​​​,长春老建筑 拆除,新浪微博总盘
"#镜头里的宽城#【长客亚乔辛制粉厂  市级文物保护单位】1903年，由俄商投资兴建,地面四层地下一层,钢筋混凝土结构。1948年长春解放后，这里被长春市财政局接收，改为新华米厂，后期与粮食公司合作，成为长春市第一制粉厂。 ​",长春市 工业遗产 保护,新浪微博总盘
#镜头里的宽城# 【凯旋路：“大红楼”亚乔辛制粉厂】在宽城区凯旋路原长春机车厂院内，有一座用红砖砌成的四层建筑，被人们形象地称为“大红楼”。百余年前，长春最早使用蒸汽机的近代化工厂——亚乔辛制粉厂在这里诞生，从而开启了长春的近代工业化进程。作为长春近代最早的外资企业之一，亚乔辛制粉 ​  展开c,长春市 工业遗产 保护,新浪微博总盘
#《人世间》取景地在长影厂#长春市文广旅局近日在回复网友留言时透露，热播剧《人世间》的取景地在长春电影制片厂。近日有网友在人民网“领导留言板”留言，提出“长春有很多历史文化老街、老厂，保存修缮得非常好， 是不是可以邀请一些影视剧组来长春拍摄电视剧。这样有利于发展长春经济，打造长春电 ​  展开c,长春市 工业遗产 保护,新浪微博总盘
#文物动态# 日前，国务院同意将吉林省长春市列为国家历史文化名城。长春市历史悠久，历史遗存丰富，城市空间格局独特，工业遗产特色鲜明，非物质文化遗产丰富多样，具有重要的历史文化价值。国务院批复要求，按照《历史文化名城名镇名村保护条例》的要求，正确处理城市建设与保护历史文化遗产的关系， ​  展开c,长春市 工业遗产 保护,新浪微博总盘
1956年7月13日，第一批“解放”牌汽车在吉林长春的第一汽车制造厂总装配线上开出，结束了中国不能制造汽车的历史，这段历史大家应该都有印象。来长春旅游，可以来探访一下一汽历史厂区，看一眼中国汽车工业的摇篮。长春第一汽车制造厂早期建筑是中国汽车工业的重要历史见证。这些建筑是1953年苏联援 ​  展开c,长春市 工业遗产 保护,新浪微博总盘
对于老一辈电影爱好者来说，长影旧址博物馆之旅是一次怀旧之旅。这里陈列的每一幅电影海报、每一句经典台词、每一段动人旋律，都能瞬间勾起他们心中深藏已久的珍贵回忆。而对于年轻一代来说，这座博物馆则成为一扇通往电影历史深处的大门，让他们得以一窥中国电影的发展历程，深刻感受到前辈电影人的卓 ​  展开c,长春市 工业遗产 保护,新浪微博总盘
#吉林文脉# 长春电影制片厂被誉为“新中国电影的摇篮”，曾创造了新中国电影史上的“七个第一”。作为记录长春电影制片厂发轫、发展、繁荣与变迁的艺术殿堂，长影旧址博物馆不仅是国家级重点文物保护单位、国家4A级旅游景区，还是国家工业遗产旅游基地。通过文物保存、艺术展览、电影互动等丰富形式， ​  展开c,长春市 工业遗产 保护,新浪微博总盘
#长春网红地点大搜罗#【 发现长春之美|长春54路有轨电车：穿越时空 打开城市记忆】19日，伴着车轮与铁轨的碰撞声，长春54路有轨电车悠悠荡荡地驶来，“沿着纬度看中国——发现长春之美”网络媒体行的媒体代表们在车上一边观光，一边体验。长春54路有轨电车是吉林省长春市唯一一条保留至今的有轨电车线 ​  展开c,长春市 工业遗产 保护,新浪微博总盘
#文化吉林#  【《欢迎乘坐长春号时光专列》】 长春的建筑，是历史的守望者。左家山遗址携六千年前的“中华第一石龙”重见天日，大马路承载了长春商埠的繁荣与民营经济的蓬勃，一汽厂区亲历了长春工业的辉煌与荣光……建筑是长春剪影，也是长春一路走来的见证。L长春发布的微博视频 ​,长春市 工业遗产 保护,新浪微博总盘
【从摇篮到未来 吉林激发工业遗产发展新动能】近日，吉林省文化和旅游厅发布“从摇篮到未来——长春新中国建设成就文物主题游径”，深入落实“保护第一、加强管理、挖掘价值、有效利用、让文物活起来”的工作要求，以文塑旅、以旅彰文，推动工业文明与文旅发展深度融合。这条游径以新中国工业建设为主 ​  展开c,长春市 工业遗产 保护,新浪微博总盘
【东北行·长春·有轨电车(20251219)】       长春有轨电车系统始建于1941年，最初由日本侵占时期规划建设，后经多次变迁。1948年长春解放后逐步恢复运营，至1960年拥有6条线路、52.63公里线网。       随着城市发展，多数线路被拆除，目前仅保留‌G54路（西安大路站—长影站）和G55路（长春西站站—长 ​  展开c,长春市 工业遗产 保护,新浪微博总盘
【#吉林是共和国老工业的脉搏#】 现如今钢铁有了记忆，齿轮学会了唱歌。#老工业正开启黄金时代#（视频来源网络） L长春校园的微博视频 ​,长春市 工业遗产 保护,新浪微博总盘
长春城市的名片，吉林八景之一，净月潭。离开齐齐哈尔扎龙自然保护区，我们驱车来到了长春市。长春市，别称“北国春城”，是东北地区重要的中心城市，也是国家历史文化名城，全国性综合交通枢纽城市，东北先进制造业基地、区域性科技创新高地。长春是著名的中国老工业基地和新中国最早的汽车工业基地和 ​  展开c,长春市 工业遗产 保护,新浪微博总盘
【中国新闻网 | 海外台胞代表人士参访吉林：感受山川之美 观科技创新】在吉林市，感受工业遗产中蕴含的创新与实干精神；登长白山，了解吉林省自然生态保护与发展生态旅游的成果；走进位于四平的黑土地，了解现代智慧农业科技；在大美长春，一边读取城市的历史，一边领略东北秋季风光。9月19日至25日 ​  展开c,长春市 工业遗产 保护,新浪微博总盘
长影旧址博物馆       长影旧址博物馆位于吉林省长春市朝阳区红旗街1118号，在长春电影制片厂的原址，是长影集团有限责任公司在完整保留伪满洲国时期株式会社满洲映画协会建筑的基础上，本着“修旧如旧”的原则修缮完成，于2014年8月19日对公众全面开放，被评定为国家三级博物馆。该馆占地面积37549平 ​  展开c,长春市 工业遗产 保护,新浪微博总盘
旅游管理专业论文选题红色文化、历史文物博物馆、文化遗产、自然资源、乡村特色、冰雪特色、海洋资源、工业发展、特色产业等一个区域或者一个景点为研究对象1. 沈阳红色文化旅游开发问题研究2. 遗址型工业博物馆文化记忆的游客情感体验研究-沈阳工业博物馆为例3. 沈阳清文化旅游发展研究4. 全域 ​  展开c,长春市 工业遗产 保护,新浪微博总盘
【今日头题丨城市空间“活”起来    长春多点联动打造周末文旅新场景】《中共中央 国务院关于推动城市高质量发展的意见》明确提出，推动历史文化名城、街区整体保护，活化利用不可移动文物、历史建筑、工业遗产，依托历史文化街区和历史地段，结合实际开展文化展示、特色商业、休闲体验等。眼下，我市 ​  展开c,长春市 工业遗产 保护,新浪微博总盘
#有一种美好叫辽宁##遇见更美大连# 悠悠文脉续华章 白山黑水谱新篇守护文明根脉 焕新历史印记骄阳下，内蒙古赤峰市敖汉旗下洼镇元宝山积石冢二期考古发掘现场探方内，内蒙古自治区文物考古研究院考古队技工周瑞伍俯身轻刷土层，细密的汗珠挂在额角。“尽管发掘工作尚未完成，但积石冢已经得到了全 ​  展开c,长春市 工业遗产 保护,新浪微博总盘
溥仪同款机位我必拍,长春伪满皇宫打卡,小红书种草大盘
来长春伪满皇宫我只干一件事,长春伪满皇宫打卡,小红书种草大盘
长春 | 伪满皇宫 黄粱一梦,长春伪满皇宫打卡,小红书种草大盘
跟着《末代皇帝》游伪满皇宫,长春伪满皇宫打卡,小红书种草大盘
伪满皇宫机位分享,长春伪满皇宫打卡,小红书种草大盘
长春伪满皇宫｜保姆级全攻略+0绕路路线✨,长春伪满皇宫打卡,小红书种草大盘
伪满皇宫的低沉与压抑,长春伪满皇宫打卡,小红书种草大盘
也就是去了五六七八次伪满皇宫吧,长春伪满皇宫打卡,小红书种草大盘
伪满洲国皇宫没有一点皇宫的样子,长春伪满皇宫打卡,小红书种草大盘
长春之伪满皇宫,长春伪满皇宫打卡,小红书种草大盘
打卡伪满皇宫：从宫殿遗址里回望历史,长春伪满皇宫打卡,小红书种草大盘
长春民丰三条｜老城区里的时光褶皱,长春老街拍照,小红书种草大盘
长春又炸街！百年老街成功修复归来！,长春老街拍照,小红书种草大盘
走🚶🏼‍♂️在长春的老街区里打捞岁月故事,长春老街拍照,小红书种草大盘
长春｜最复古的街区 还有人记得吗？,长春老街拍照,小红书种草大盘
老街的春天,长春老街拍照,小红书种草大盘
长春商埠地历史文化街区,长春老街拍照,小红书种草大盘
长春新民大街原创词『新民长街』,长春老街拍照,小红书种草大盘
📸长春扫街｜在老工业区的citywalk～,长春工业风打卡,小红书种草大盘
隐于市的工业废土风咖啡店☕️,长春工业风打卡,小红书种草大盘
在长春📍让时间停留在千禧年的拖拉机厂,长春工业风打卡,小红书种草大盘
遗忘的角落｜长春,长春工业风打卡,小红书种草大盘
长春Citywalk｜工业风水文化生态园,长春工业风打卡,小红书种草大盘
长春🎞️工业风拍照地,长春工业风打卡,小红书种草大盘
钢筋混凝土和浪子的涂鸦,长春工业风打卡,小红书种草大盘
长春地下停车场拍照｜长春辣妹必看📸,长春工业风打卡,小红书种草大盘
工业风太酷啦👓这家店简直踩到了我的心巴上,长春工业风打卡,小红书种草大盘
这不是废墟，是我在长春发现的工业遗迹大片,长春工业风打卡,小红书种草大盘
长春旅游|一定要感受下老工业区的Citywalk~,长春工业风打卡,小红书种草大盘
长春旅游攻略🔥,长春小众景点,小红书种草大盘
长春，北国春城,长春小众景点,小红书种草大盘
长春自驾地图｜附国庆节三日游住宿+游玩攻略,长春小众景点,小红书种草大盘
长春citywalk｜小众打卡地合集,长春小众景点,小红书种草大盘
长春必冲🔥6大核心景点,长春小众景点,小红书种草大盘
发现长春的小众旅游打卡地,长春小众景点,小红书种草大盘
长春适合带仇人去的地方（求补充),长春小众景点,小红书种草大盘
长春慢游攻略｜银发族零负担逛吃指南🎉,长春小众景点,小红书种草大盘
长春版“小阿勒泰”｜蓝天公园开放！,长春小众景点,小红书种草大盘
长春找工作避雷,长春避雷,小红书种草大盘
长春！避雷！,长春避雷,小红书种草大盘
长春高铁站避雷！,长春避雷,小红书种草大盘
吉大避雷小北门烤牛肉面片,长春避雷,小红书种草大盘
呼叫在长春读大学的两广靓仔靓女,长春避雷,小红书种草大盘
避雷净月大学城迅驰广场的丽德尔健身房！,长春避雷,小红书种草大盘
避雷！！！,长春避雷,小红书种草大盘
长春泊寓避雷,长春避雷,小红书种草大盘
长春租房 标准一室 可短租 可押一,长春光复路,小红书种草大盘
长春光复路的大雨,长春光复路,小红书种草大盘
拼装四驱车到货,长春光复路,小红书种草大盘
6.1后高达更新啦。,长春光复路,小红书种草大盘
光复路食品批发   招聘文员,长春光复路,小红书种草大盘
长春货源地-光复路价格一探 价差15%+。,长春光复路,小红书种草大盘
长春市光复路这个大厦为什么没有窗户,长春光复路,小红书种草大盘
长春 市景 光复路2025.3,长春光复路,小红书种草大盘
长春 市景 光复路 2025.9,长春光复路,小红书种草大盘
长春光复路牛肉抻面,长春光复路,小红书种草大盘
来一次就够的“长春”,长春旅游 堵车,小红书种草大盘
劝退！五一假期长春这有山来了一亿人！,长春旅游 堵车,小红书种草大盘
下周去长春，住哪儿呀,长春旅游 堵车,小红书种草大盘
长春旅游落地第一天，避雷篇,长春旅游 堵车,小红书种草大盘
今早长春世纪快速路咋的啦,长春旅游 堵车,小红书种草大盘
我真的求求了,长春旅游 堵车,小红书种草大盘
长春历史建筑步行路线图（2）,长春老城区,小红书种草大盘
官宣｜长春新民大街正式入驻小红书啦‼️,长春老城区,小红书种草大盘
你见过80年代的长春吗？,长春老城区,小红书种草大盘
长春！目测是下一个县城文学拍照打卡地！,长春老城区,小红书种草大盘
这里是你没见过的，80年代的长春！,长春老城区,小红书种草大盘
📸长春扫街｜在老工业区的citywalk～,长春老城区,小红书种草大盘
长春｜长春伪满八大部Citywalk路线图 🏛,长春老城区,小红书种草大盘
长春旅游攻略🔥,长春老城区,小红书种草大盘
长春 市景 站前 2025.8,长春老城区,小红书种草大盘
长春宽城子｜红砖巷陌里的中式浪漫✨,长春老城区,小红书种草大盘
宽城区租房,长春宽城区,小红书种草大盘
80年代初，美国间谍卫星拍摄的长春市区,长春宽城区,小红书种草大盘
长春找线下搭子,长春宽城区,小红书种草大盘
长春市整租一室一厅950,长春宽城区,小红书种草大盘
长春人嘴真严！这么火的商场没人说吗？,长春宽城区,小红书种草大盘
宽城区地图＃行政区划图＃政区图＃交通图,长春宽城区,小红书种草大盘
长春市旅游地图,长春宽城区,小红书种草大盘
一居室租房,长春宽城区,小红书种草大盘
好纠结呀，去哪里,长春宽城区,小红书种草大盘
长春宽城求租,长春宽城区,小红书种草大盘
🔥求长春靠谱老破小改造设计师推荐,长春老旧小区,小红书种草大盘
在长春📍花小钱办大事❗旧房翻新真的香,长春老旧小区,小红书种草大盘
🔥供暖倒计时！这些事情要注意！,长春老旧小区,小红书种草大盘
旧车库门改造｜疯狂动物城来我家啦！,长春老旧小区,小红书种草大盘
房价还能长起来吗？,长春老旧小区,小红书种草大盘
长春绿园区老破小 小屋大变样……,长春老旧小区,小红书种草大盘
长春 市景 站前 2025.8,长春老旧小区,小红书种草大盘
新民大街整容不整容，city不city！,长春改造,小红书种草大盘
暗藏日本人小心眼子的旧址，已被长春改造！,长春改造,小红书种草大盘
改造后新民大街的细节,长春改造,小红书种草大盘
崇智商场或将迎来改造焕新,长春改造,小红书种草大盘
新民大街整容不整容，city不city！第二期,长春改造,小红书种草大盘
长春大学要搬走吗？,长春改造,小红书种草大盘
展板分享 | 水的再生,长春改造,小红书种草大盘
长春素人改造,长春改造,小红书种草大盘
改造后的长春新民大街有一种典雅的气质,长春改造,小红书种草大盘
长春，文艺的根系在蔓延,长春改造,小红书种草大盘
为迎接2027年大冬会，长春将对多处场馆改造,长春改造,小红书种草大盘
