Name,Type,Lat,Lng
伪满皇宫,交通设施,43.90139023528775,125.3416987833509
城科所,交通设施,43.89979389557176,125.33971886475447
陕西路,交通设施,43.898133441297084,125.33712598108023
市七十中学,交通设施,43.90578544606187,125.34024365841636
东四马路,交通设施,43.896340660287414,125.33957719458814
东七条,交通设施,43.90587493434295,125.33750218296247
光复路,交通设施,43.900385123803446,125.33239240466452
黑水路,交通设施,43.905553381802775,125.33459324368319
六马路,交通设施,43.897740773235,125.33332762095637
东湾半岛二区,交通设施,43.90201871028437,125.34932598783915
吉林道口,交通设施,43.90697233336064,125.34570615654073
东安屯,交通设施,43.9053008526124,125.34882169391639
东大桥,交通设施,43.895149050976045,125.34698788610545
东广场,交通设施,43.905396014230426,125.33080236313016
省政协,交通设施,43.89815384099147,125.32876836114022
南广场,交通设施,43.90207967797984,125.32741762158628
二马路,交通设施,43.89071492285318,125.3376370381947
桃源路,交通设施,43.891685061645006,125.34959100282579
长春站,交通设施,43.905865690607435,125.31803800833966
长春站-公交车换乘站广场,交通设施,43.90632442374407,125.31784406982165
四马路,交通设施,43.89333103449651,125.3331923872438
向阳街,交通设施,43.8955193432255,125.34407173977951
吉盛伟邦,交通设施,43.895145695856606,125.35463509460162
东湾半岛一区,交通设施,43.90056862515283,125.35091494589665
东三马路小学,交通设施,43.89419928365537,125.34179848876272
祥和小区,交通设施,43.89874840979863,125.35230800804658
黄河路客运站,交通设施,43.90459888086312,125.31866440183748
省政协,交通设施,43.8971243393821,125.32709183226575
永春批发,交通设施,43.89542208736747,125.33062854631133
东三条,交通设施,43.9068996066999,125.32660823813013
永宁桥,交通设施,43.90542208118818,125.34676368461865
五马路,交通设施,43.893413288070306,125.3263923660948
亚泰大街,交通设施,43.891445773029794,125.33988739108732
东大桥街,交通设施,43.89669855074122,125.35048024042732
长春站前温州城,交通设施,43.90702909955292,125.32380580840967
长白路,交通设施,43.907132164330946,125.32342305241474
永春路,交通设施,43.8935652691797,125.33232078845973
长白路东二条,交通设施,43.90686870977869,125.32459030707263
亚泰大街(新天地购物公园),交通设施,43.89649639558161,125.33625023133209
长春长白路火车站,交通设施,43.90703216247291,125.32258346454852
东天街,交通设施,43.88932555533641,125.34978929223237
铁北二路,交通设施,43.91093879409168,125.33111060308106
三马路,交通设施,43.89050805334716,125.33157529932889
