Name,Lat,Lng
椒爱水煮鱼川菜(中东新天地店),43.89716781943821,125.33841532416606
遇见南洋小馆(新天地店),43.89726796212206,125.33795864420539
康记麻辣烫土豆粉蒸饺,43.89854606360196,125.33817161843294
花子大冷面(新天地购物公园店),43.897182496000845,125.3387400896478
luckincoffee瑞幸咖啡(新天地购物公园店),43.89693714816251,125.3379088953511
700CC(长春中东新天地购物公园店),43.897265860035766,125.33827137524281
饭婉儿汤饭馆(新天地购物公园亚泰大街店),43.89710996733548,125.33957973065249
孟楚桥新疆炒米粉(中环11区店),43.89632593569315,125.34101810161746
朴老五果木炭烤肉(万龙花园店),43.89391949453538,125.3378006301688
农安老乐哥溜达串(长通路店),43.89620024707574,125.34434670727865
品臭坊臭豆腐(新天地购物公园店),43.89721036472478,125.33902690535214
迎客来咱家饭庄,43.901368848641816,125.34081256208783
百利宾馆餐饮(餐饮部),43.90378101327596,125.336856903846
正嘉老味烧烤,43.90058818918958,125.34007418955923
老妈面馆东北农家菜(陕西路店),43.90026689368901,125.3397405052813
食香美馔美食城,43.90142634220299,125.3371874819758
北丐先生·野馄饨·MALL烧烤(新天地购物公园店),43.89743815476896,125.33957352686954
无名小吃(光复路店),43.9023650915661,125.33711479907691
金禾家牛肉汤饭,43.902089894335745,125.34242361091948
西塔老太太泥炉烤肉(中东新天地店),43.89747232351789,125.33955451151641
个中味排骨卤肉饭(陕西路店),43.89979748066633,125.33940096895981
老一味水煎包(三马路店),43.89475226114489,125.3429419667239
延边玉香狗肉馆(东七条街),43.901015931457565,125.33705896688875
汉堡王(新天地店),43.89689310127358,125.3394279180208
沈老头包子(光复路店),43.901082574098076,125.33712583116854
马四哥原味烧烤店(小铁道街小区店),43.90118919114338,125.34426716117568
酒香居店小二(长春大街总店),43.894420702632274,125.34600228960116
海底捞火锅(新天地购物公园店),43.896500805008706,125.3372898109389
回宝珍饺子馆(长通路店),43.8958877028388,125.3456108127048
邵汇大虾(新天地店),43.89730102573074,125.33824937101619
楼外楼(东大桥店),43.89469454554373,125.34273482657163
李连贵熏肉大饼(新天地购物公园店),43.89713341740944,125.33888303321606
大同江冷面(新天地店),43.897303026575194,125.33824936976009
肯德基(新天地店),43.89669369353542,125.33732265778785
川天椒麻辣烫(龙祥苑店),43.89851511200506,125.33816264716134
转么么自助小火锅(新天地购物公园店),43.89729102150754,125.33824937729386
伟大航路烤鱼(新天地购物公园店),43.89728198345014,125.33825437889574
东大桥小国抻面烧烤(长通路店),43.89600039495761,125.34719486820921
恩燕烤鸭(新天地购物公园店),43.8970881910492,125.33904297280984
南方风味鼎轩包子面馆,43.898473939606625,125.33818565584055
陈记板面王,43.90265272912574,125.3366531657841
重庆切面(光复路店),43.90198112015403,125.33633519506361
福寿德道口烧鸡(新天地购物公园店),43.89721354656808,125.33913384881664
刚子烤鸭脆皮,43.901327403635484,125.33681403843767
不二烤梨(新天地购物公园店),43.897270562967115,125.3391348126714
国营大冷面饭店,43.899697191351756,125.33110909190387
上当一回面食店(光复路店),43.90125015866938,125.33703381303003
亿顺饼业,43.90198609171234,125.33806111215793
慈佳特色烧烤城,43.90406064183539,125.33777758550467
生力源饼业,43.90196666494581,125.3376625100154
玉华超市(陕西路店),43.900295825405586,125.34044438183601
李德平价超市,43.90131072002799,125.3433950620292
煜成超市,43.901062974445594,125.34301690315725
吉家超市(陕西路店),43.89967895987109,125.34062484437565
启隆超市,43.90170171779387,125.33994232989825
圣沅酒行,43.90106319133829,125.34054578781974
万家自选超市(光复路店),43.901254904404034,125.33916095510713
居无忧超市(陕西路店),43.89986473398871,125.34009573300118
可欣汾酒竹叶青专卖店,43.900452792960266,125.34011428774095
鹏盛轩超市,43.89837712110461,125.34021477310557
迎赢扑克百货,43.90152900661662,125.3405844167051
天德进口食品,43.90162875150369,125.3400523696051
广源挂面大全,43.901337097633785,125.34078458450472
仓鼠进口食品折扣店(光复路店),43.90211103314546,125.33792513237252
徐氏食品商行(光复路店),43.901145627613126,125.3421361973617
果小果空运水果批发,43.899908575701325,125.33999971586978
金鑫批发,43.90064301998099,125.34021112998617
浩源鑫经销处,43.90039063406631,125.33989637343461
天一零食天地,43.90217918900584,125.33759040920908
顺德干果商行,43.90308148386001,125.33633825931459
双海商贸,43.900942882746484,125.33914920755531
鑫达源货架,43.89979471571774,125.34009478488696
紫竹林百货行,43.90025921696185,125.33945560292898
永信百货调料(光复路店),43.90175403061363,125.3391675492115
励颖卫生用品百货行,43.90158866362813,125.34029037453296
佳瑞食品商行,43.90166071156415,125.3399413634607
