ID,GVI,SVF,Enclosure,Clutter
1728,0.66,25.98,68.23,2.93
1730,17.79,22.05,66.16,3.24
1734,0.1,44.15,51.41,2.53
1738,10.91,38.99,50.06,9.19
1742,4.42,16.47,76.22,3.8
1744,0.19,10.36,87.97,0.57
1746,1.02,17.65,78.61,2.32
1748,0.49,56.38,38.37,2.18
1750,5.99,34.34,54.97,2.83
1751,12.29,24.2,63.17,3.55
1753,0.82,50.25,43.44,2.81
1757,0.67,34.39,61.55,1.27
1761,0.09,21.89,69.34,2.38
1767,6.34,41.49,47.79,5.33
1771,0.24,51.63,45.22,1.77
1775,14.86,34.82,62.21,1.44
1789,0.17,56.0,37.53,2.92
1793,1.25,48.13,49.83,0.95
1797,0.21,23.73,71.09,0.51
1799,1.18,34.04,62.41,1.02
1803,0.53,68.44,26.52,3.19
1807,19.99,23.8,60.23,14.01
1811,22.46,31.2,66.61,1.09
1813,2.01,41.93,48.9,6.11
1815,20.94,26.17,59.07,8.5
1817,14.64,34.98,59.22,3.89
1819,0.78,33.48,57.7,2.96
1821,0.34,25.75,72.43,1.15
1825,0.32,55.1,39.87,1.96
1829,0.0,22.89,68.8,2.66
1835,0.25,45.38,52.15,1.42
1839,1.36,56.64,40.8,1.03
1843,18.8,29.21,64.94,3.77
1856,0.21,54.9,37.83,5.65
1860,1.23,3.1,56.57,2.99
1864,0.21,23.73,71.09,0.51
1866,0.38,48.01,48.3,1.57
1870,0.24,46.36,49.9,2.12
1878,16.78,31.08,61.0,6.62
1880,2.01,41.93,48.9,6.11
1882,10.57,29.56,59.59,5.59
1884,3.08,26.04,63.68,4.85
1886,0.14,44.55,46.06,5.54
1890,1.82,54.29,37.95,6.0
1894,0.54,42.15,48.47,5.64
1900,0.49,39.98,54.46,3.66
1904,0.97,56.76,40.79,0.8
1919,1.82,50.1,41.69,6.14
1923,0.35,43.6,51.18,3.92
1927,1.11,41.06,44.01,5.94
1929,0.35,41.62,54.47,2.66
1933,0.36,44.76,52.39,0.67
1943,5.16,75.37,16.72,5.4
1945,1.18,0.24,79.07,2.92
1947,11.42,3.98,68.87,7.03
1951,1.82,54.29,37.95,6.0
1955,0.54,42.15,48.47,5.64
1961,0.51,47.79,49.8,1.75
1973,1.77,41.79,47.96,3.04
