Name,Type,Lat,Lng,Address
陕西路-182号楼,房地产,43.900612700579074,125.34122023230239,吉林省长春市南关区中环十一区A栋(伪满皇宫博物院南)
光复路-113栋,房地产,43.901360229059414,125.33737231809249,长春市南关区光复路小区113栋
长通家园B区-B10栋,房地产,43.899838759540316,125.3432590621302,吉林省长春市南关区长通家园B10栋
长通家园A区-A7栋,房地产,43.9001811069779,125.34349804510599,吉林省长春市南关区长通家园A7栋
光复路-109栋,房地产,43.90107924232867,125.33682721801704,长春市南关区光复路109栋
小铁道街-405栋,房地产,43.90133978294819,125.34356121025101,长春市宽城区光复路长春市回族小学东北侧约150米
中环十一区-8栋,房地产,43.89904944818601,125.34128840608548,长春市南关区中环十一区8栋
女子公寓-B栋,房地产,43.90026357806185,125.34069041260678,长春市南关区陕西路308号
长通家园B区-B9栋,房地产,43.89952012000578,125.3430420956314,吉林省长春市南关区长通家园B9栋
女子公寓,房地产,43.899993354414846,125.34059461067218,吉林省长春市南关区陕西路274号
中环十一区-9栋,房地产,43.89878559460407,125.34115955759503,长春市南关区陕西路396号A
中环11区-11栋,房地产,43.899002397378624,125.3418896715365,吉林省长春市南关区东三马路431号
光复路-308栋,房地产,43.90184307811434,125.33774852428907,长春市南关区光复路308栋
陕西路-117号楼,房地产,43.90146177977239,125.34082348867281,长春市南关区光复路南关区第二幼儿园东北侧
光复路-128栋,房地产,43.90043170584081,125.34000732049294,长春市南关区陕西路217号
陕西路-242号楼,房地产,43.90048605584373,125.34086326045454,长春市南关区陕西路长春市回族小学西北侧约40米
光复小区-122栋,房地产,43.90041458304801,125.3375858231278,吉林省长春市南关区太平街光复小区
光复路-119栋,房地产,43.90120733543449,125.33935890488551,长春市南关区太平街77号
长通家园A区-A9栋,房地产,43.900519411815374,125.34222974151126,吉林省长春市南关区长通家园A9栋
光复路小区-213栋,房地产,43.90319358471074,125.33804909862685,长春市宽城区兴起胡同光复路小区
长通家园-B区,房地产,43.89934436163751,125.34395316901877,长春市南关区昆明街长通家园
光复路小区,房地产,43.90326066583881,125.33788818793175,吉林省长春市宽城区东广街道光复北路116号
光复小区-121栋,房地产,43.9000324505784,125.33758411358217,长春市南关区爱国胡同龙祥苑北侧约150米
光复路-126栋,房地产,43.90036602743627,125.33699954550771,长春市南关区光复路126栋
光复路小区-212栋,房地产,43.90271377792553,125.33799556017298,吉林省长春市宽城区东七条街光复路小区
军宇小区,房地产,43.90448478694784,125.33944106415885,吉林省长春市宽城区黄河路1808号
光复路庆丰大厦,房地产,43.90223132931176,125.33588571118767,宽光复大路431号
长通家园A区-A8栋,房地产,43.90047339742019,125.34365198678526,吉林省长春市南关区长通家园A8栋
