FID,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,level,Type,integration,choice,integration_norm,choice_norm
40601,59464835,5114,secondary,北京大街, ,F,0,0,F,F,2,二级道路,31.894389428710333,0.035758628131928503,0.9424198874018028,1.0
40603,59466017,5115,tertiary,东朝阳路, ,B,0,0,F,F,2,二级道路,25.757337751594587,0.005951824714769051,0.5567146739589438,0.15458148175914713
40609,59466638,5122,residential,北安路北三胡同, ,B,0,0,F,F,3,三级道路,32.30247638826971,0.025938989934663606,0.9680675886305582,0.7236141241483143
40610,59466639,5115,tertiary,西四马路, ,B,0,0,F,F,2,二级道路,33.162392031898094,0.015164341632821238,1.0,0.41686093896382415
40611,59466640,5153,footway, , ,B,0,0,F,F,4,其他道路,32.479062213357295,0.004619165342280299,0.9791657636076997,0.11664079953688028
40612,59466641,5115,tertiary,东五马路, ,B,0,0,F,F,2,二级道路,33.08973584375814,0.036114047301772347,1.0,1.0
40613,59466642,5115,tertiary,清明街, ,B,0,0,F,F,2,二级道路,32.37403987693149,0.03795773204420487,0.9725652549565456,1.0
40614,59466644,5141,service, , ,B,0,0,F,F,3,三级道路,32.3532169574466,0.001426020758530029,0.9712565632545721,0.025732284996084397
40615,59466646,5115,tertiary,东四马路, ,B,0,0,F,F,2,二级道路,33.14560414807839,0.021542468656189296,1.0,0.5984455925988645
40616,59466647,5115,tertiary,北安路, ,B,0,0,F,F,2,二级道路,30.908695719803042,0.022867211765168757,0.8804704005169135,0.6361608995719161
40617,59467250,5153,footway, , ,B,0,0,F,F,4,其他道路,21.476867129195124,0.002887554692251849,0.2876930130847439,0.06734201339415427
40618,59467251,5153,footway, , ,B,0,0,F,F,4,其他道路,22.149830183064353,0.014559727095173905,0.329987810650108,0.3996476221077692
40619,59467252,5122,residential,呼伦路, ,B,0,0,F,F,3,三级道路,31.44378975831602,0.04970851727588439,0.9141003210708245,1.0
40621,59467257,5153,footway, , ,B,0,0,F,F,4,其他道路,20.424986577358315,0.0010400847607275293,0.22158377462493598,0.014744724819013181
54882,89981154,5115,tertiary,惠工路, ,F,0,0,F,F,2,二级道路,25.7183673101747,0.014025875137822255,0.5542654355922751,0.3844489090039186
54883,89981158,5122,residential,百汇街, ,B,0,0,F,F,3,三级道路,27.423623020417487,0.003447171699334863,0.6614383994678152,0.08327425494831925
54884,89981159,5115,tertiary,河东路, ,F,0,0,F,F,2,二级道路,18.7144991352124,0.006546174651395597,0.11408200363214509,0.17150256642631145
54885,89981160,5115,tertiary, , ,F,0,0,F,F,2,二级道路,23.848852850985473,0.022468361881217258,0.4367690364329021,0.6248056823170136
54887,89981163,5115,tertiary,健康胡同, ,B,0,0,F,F,2,二级道路,32.63146329677244,0.014700728791460772,0.9887439610060939,0.4036619266345366
54888,89981165,5115,tertiary,文化胡同, ,B,0,0,F,F,2,二级道路,28.474335632820004,0.017048678556713166,0.7274742345488522,0.4705078272122095
54889,89981167,5115,tertiary,南京大街, ,F,0,0,F,F,2,二级道路,30.952953907348142,0.07958697212848877,0.8832519664172515,1.0
54890,89981168,5115,tertiary,天津路, ,F,0,0,F,F,2,二级道路,30.56886583316781,0.023440603215419145,0.8591125619561493,0.6524852981782061
54891,89981169,5115,tertiary, , ,F,0,1,T,F,2,二级道路,26.29052993493606,0.0011581023014891989,0.5902250655446375,0.018104672682006752
54892,89981170,5122,residential,立信街 Lixin St, ,B,0,0,F,F,3,三级道路,26.410751460714145,0.010017892011966824,0.5977808222337282,0.2703420207251043
54893,89981171,5115,tertiary,东二条, ,F,0,0,F,F,2,二级道路,30.832128103958837,0.008296980098164753,0.8756582317157083,0.221347826558186
54894,89981172,5115,tertiary,东莱北街, ,F,0,0,F,F,2,二级道路,24.253455016484157,0.0035641549574094164,0.462197723172665,0.08660475688419147
54895,89981176,5115,tertiary,东三条, ,F,0,0,F,F,2,二级道路,30.240000498145466,0.005147546451625562,0.8384438303057807,0.13168375813212824
54896,89981177,5115,tertiary, , ,F,0,1,T,F,2,二级道路,23.021097927095234,0.009702454529401376,0.38474578383622354,0.2613615463937999
54897,89981178,5114,secondary,嫩江路, ,F,0,0,F,F,2,二级道路,27.632495579481628,0.006908587909824004,0.6745657510390266,0.1818204365100147
54898,89981179,5115,tertiary, , ,F,0,0,F,F,2,二级道路,23.851998562209445,0.020502972511625167,0.4369667400343881,0.568851238852996
54899,89981180,5115,tertiary,民安街, ,B,0,0,F,F,2,二级道路,31.80980763132339,0.029130025310495022,0.9371040383702295,0.8144625897455902
54900,89981181,5115,tertiary,浙江路, ,F,0,0,F,F,2,二级道路,27.916969516629408,0.00911589852257343,0.6924445447040136,0.2446623541470514
54901,89981182,5121,unclassified, , ,B,0,0,F,F,3,三级道路,25.722265016972166,0.015967684972629348,0.5545104010759226,0.43973204541476485
54902,89981183,5115,tertiary,黑水路, ,B,0,0,F,F,2,二级道路,29.549627171974016,0.017989949379009947,0.7950548211958948,0.4973057156232299
54903,89981185,5115,tertiary,黑水路, ,F,0,0,F,F,2,二级道路,29.554272212834846,0.023026318193728305,0.7953467555922366,0.6406906440588545
54904,89981187,5122,residential,东一条, ,F,0,0,F,F,3,三级道路,30.819936893947943,0.022784985996250572,0.8748920310208516,0.6338199399588229
54905,89981188,5115,tertiary,东中华路, ,B,0,0,F,F,2,二级道路,25.422703302756656,0.0056721461480423166,0.5356833614810559,0.14661906027049498
54907,89981190,5115,tertiary,南京大街, ,F,0,0,F,F,2,二级道路,31.268686719970916,0.07297879435354579,0.9030953371904977,1.0
54908,89981191,5115,tertiary, , ,F,0,1,T,F,2,二级道路,23.024860214450534,0.005771675790217199,0.38498223839514806,0.14945265946576503
79181,104632960,5153,footway, , ,B,0,0,F,F,4,其他道路,22.15548971235467,0.0033869680472282462,0.33034350424171444,0.08156026285075019
79189,104632983,5153,footway, , ,B,0,0,F,F,4,其他道路,20.13956965838324,0.00455403326235348,0.20364571585577437,0.11478649558045079
79191,104632987,5153,footway, , ,B,0,0,F,F,4,其他道路,21.97654843324567,0.010202562442364668,0.31909729223573846,0.2755995698484704
79198,104633007,5153,footway, , ,B,0,0,F,F,4,其他道路,20.742856946596003,0.0036373535817293546,0.24156148787626122,0.08868871457192636
89242,111654602,5115,tertiary,大马路, ,F,0,0,F,F,2,二级道路,32.61378456314361,0.029632537687096533,0.9876328770383423,0.828769068045284
89244,111654608,5115,tertiary,东三条, ,F,0,0,F,F,2,二级道路,31.744936536864888,0.013136676640331177,0.9330269797676941,0.359133514596102
89246,111654616,5122,residential, , ,B,0,0,F,F,3,三级道路,31.964290783825987,0.00891930072399788,0.946813090932313,0.23906523401617932
90007,111952541,5115,tertiary,亚泰大街（Yà Tài Dàjiē）, ,F,0,-1,F,T,2,二级道路,28.871682665086396,0.040687797986932714,0.7524469461951754,1.0
90378,112004946,5122,residential,东六条, ,B,0,0,F,F,3,三级道路,30.759711661617946,0.018769923022086184,0.8711069584301959,0.5195114890898845
90380,112004949,5115,tertiary,珠江路, ,F,0,0,F,F,2,二级道路,31.556032456342365,0.026712284419330153,0.9211546194664346,0.7456297426271561
90381,112004954,5141,service, , ,B,0,0,F,F,3,三级道路,31.03085650759925,0.0031605966363047033,0.8881480371428166,0.07511549088323917
90382,112004959,5115,tertiary,东四条, ,F,0,0,F,F,2,二级道路,31.012053495216225,0.011536131484645485,0.8869662938096773,0.31356615028090296
90383,112004961,5124,pedestrian,长江路, ,B,0,0,F,F,4,其他道路,29.656656949933755,0.004754666161126095,0.8017814947721721,0.12049849461997149
90455,112016501,5114,secondary,临河街, ,F,0,0,F,F,2,二级道路,20.41895167973063,0.009310832961832794,0.221204489652272,0.2502121186005916
91010,112478344,5115,tertiary,滨河东路, ,B,0,0,F,F,2,二级道路,22.332715770535057,0.008486672360135542,0.3414819169836174,0.22674834673613373
91082,112494386,5115,tertiary,和顺街 Heshun St, ,B,0,0,F,F,2,二级道路,21.820073763129145,0.01899243628230031,0.30926307554488924,0.525846419883384
91083,112494387,5115,tertiary,和顺四条 Heshun 4th Tiao, ,B,0,0,F,F,2,二级道路,21.084141807148146,0.007905126886155531,0.2630107695362041,0.210191803870369
91085,112494392,5122,residential,和顺三条 Heshun 3rd Tiao, ,B,0,0,F,F,3,三级道路,17.902820488750923,0.005381154557808505,0.0630691228464371,0.13833455810712894
91088,112494398,5122,residential, , ,B,0,0,F,F,3,三级道路,21.72209034074558,0.0004952223988070712,0.3031049529100028,0.0
91104,112499493,5122,residential, , ,B,0,0,F,F,3,三级道路,22.733812749458103,0.012592854199776325,0.3666903075930162,0.3436509428089115
91111,112517190,5115,tertiary,荣光路, ,B,0,0,F,F,2,二级道路,16.922535193960947,0.0026056271705221026,0.0014595473116973952,0.059315564376140245
91112,112517193,5122,residential, , ,B,0,0,F,F,3,三级道路,27.536586890541077,0.005050250316077693,0.6685380225327179,0.12891374665246377
91113,112517194,5114,secondary, , ,F,0,0,F,F,2,二级道路,24.940592137095575,0.004238841851228813,0.5053833412371517,0.10581302687904053
91114,112517196,5122,residential, , ,B,0,0,F,F,3,三级道路,26.821040837607782,0.0006176055094472894,0.6235669423471035,0.0027167817832843685
91116,112517200,5114,secondary, , ,F,0,0,F,F,2,二级道路,25.743551661885885,0.007410285086428472,0.5558482372799983,0.19610370614538378
91117,112517201,5114,secondary, , ,F,0,0,F,F,2,二级道路,29.50440755539621,0.053452528106421794,0.7922128308100252,1.0
91118,112517202,5114,secondary,四通路, ,F,0,0,F,F,2,二级道路,27.660175373200225,0.017074410616779466,0.676305387806971,0.47124041644998044
91119,112517205,5122,residential, , ,B,0,0,F,F,3,三级道路,26.198471935289074,0.0045093884278062275,0.5844393475368578,0.11351546149973164
91120,112517207,5122,residential,滨河街 Binhe St, ,B,0,0,F,F,3,三级道路,25.59103782079088,0.018017540761669316,0.5462629532173121,0.4980912395936929
91122,112517211,5122,residential,东华路, ,B,0,0,F,F,3,三级道路,26.10916750036361,0.009135995560152366,0.5788266872650271,0.24523451484477524
91123,112517216,5114,secondary, , ,F,0,1,T,F,2,二级道路,25.311182893931125,0.001949791041261993,0.5286744579631533,0.040643973807823905
91125,112517220,5113,primary,吉林大路 (Jílín Dàlù), ,F,0,0,T,F,1,一级道路,28.757600661525295,0.06372770616281123,0.7452770499895427,1.0
91126,112517224,5114,secondary, , ,F,0,0,T,F,2,二级道路,28.78862125357226,0.04024604155630113,0.7472266513137769,1.0
91127,112517225,5115,tertiary,吉林街 JilinSt, ,B,0,0,F,F,2,二级道路,26.282396900220903,0.017317381835305196,0.589713915556697,0.4781577833192248
91128,112517226,5115,tertiary,荣光路, ,F,0,0,F,F,2,二级道路,28.08404858476314,0.014905056212843604,0.7029452331496813,0.4094791083720602
91129,112517229,5113,primary,吉林大路 (Jílín Dàlù), ,F,0,0,T,F,1,一级道路,28.29676030004373,0.03619400788745659,0.7163138703814693,1.0
91130,112517230,5115,tertiary,荣光路, ,F,0,0,F,F,2,二级道路,24.65688603864871,0.019297055236016377,0.48755280517298155,0.5345188917545998
91131,112517231,5114,secondary,四通路, ,F,0,0,F,F,2,二级道路,27.231997026476307,0.032816822649949964,0.649394970671234,0.9194253500441447
91132,112517232,5114,secondary, , ,F,0,0,T,F,2,二级道路,28.76446747133491,0.01469450821119548,0.7457086194927237,0.4034848273217221
91133,112517233,5114,secondary,东大桥广场 (Dōng Dàqiáo Guǎngchǎng), ,B,0,0,F,F,2,二级道路,29.94928623312979,0.03301578632386034,0.8201728406615394,0.9250898264148101
91134,112517234,5115,tertiary,东头道街, ,F,0,0,F,F,2,二级道路,29.273108841425934,0.010499788633286778,0.7776760264070857,0.28406157048472513
91135,112517235,5114,secondary, , ,F,0,0,F,F,2,二级道路,29.49081267113504,0.03426364117958679,0.7913584111291159,0.9606161323246343
91136,112517236,5122,residential, , ,B,0,0,F,F,3,三级道路,26.425199943013148,0.0003274387628970006,0.5986888893712174,0.0
91137,112517237,5115,tertiary, , ,F,0,0,T,F,2,二级道路,27.53786504687141,0.026860027076343516,0.6686183528910303,0.7498359616476618
91138,112517238,5121,unclassified,Binhe Lu, ,B,0,0,F,F,3,三级道路,27.14900198716702,0.004386436248349258,0.6441788471911508,0.11001502495487
91139,112517239,5115,tertiary, , ,F,0,0,T,F,2,二级道路,27.507179415530615,0.0207619636235211,0.6666898033840963,0.5762246905224084
91140,112517241,5122,residential,公园路, ,B,0,0,F,F,3,三级道路,21.850952722546374,0.0036717370338588155,0.31120377545415145,0.08966760809706788
91141,112517242,5134,secondary_link, , ,F,0,0,F,F,2,二级道路,24.981469278099784,0.0026675103498342064,0.5079524130366859,0.06107737244927103
91143,112517244,5122,residential, , ,B,0,0,F,F,3,三级道路,29.04365226441504,0.003413237977514862,0.763254997765292,0.0823081652011792
91144,112517246,5134,secondary_link, , ,F,0,0,F,F,2,二级道路,24.632152750478063,0.008968744481723467,0.4859983522051866,0.24047289297124894
91145,112517247,5114,secondary, , ,F,0,1,T,F,2,二级道路,25.37630177557113,0.014288657366531284,0.5327670896474807,0.39193029339885893
91146,112517248,5121,unclassified,通伊路, ,B,0,0,F,F,3,三级道路,27.471946476371425,0.0055201601035964444,0.6644754618674217,0.14229203242408345
91147,112517249,5115,tertiary,荣光路, ,F,0,0,F,F,2,二级道路,24.136325640307398,0.014480646916442968,0.4548363038111259,0.3973962171401912
91148,112519113,5115,tertiary,东新路 Dongxin Rd, ,F,0,0,F,F,2,二级道路,20.504187765697765,0.0072114309258932245,0.2265614598165576,0.19044234760981613
91149,112519114,5122,residential,西绿安街 Lv‘an West St, ,B,0,0,F,F,3,三级道路,23.410229822874282,0.006593099489321342,0.4092021855117298,0.17283851198061106
91151,112519119,5115,tertiary,阜丰路, ,B,0,0,F,F,2,二级道路,22.03856262884449,0.00789354289381161,0.3229947986946005,0.20986200873932578
91152,112519120,5121,unclassified, , ,B,0,0,F,F,3,三级道路,25.102250033670952,0.015508858673259166,0.5155433165451376,0.42666930546861276
91153,112519121,5115,tertiary,东新路, ,B,0,0,F,F,2,二级道路,25.02427000158915,0.017775030902348575,0.5106423793360628,0.49118700757597034
91154,112519122,5122,residential,和顺五条 Heshun 5th Tiao, ,B,0,0,F,F,3,三级道路,19.266794523945997,0.002211649442261577,0.1487930052665837,0.04809905691807308
91155,112519123,5122,residential,怀德街 Huaide St, ,B,0,0,F,F,3,三级道路,22.827510088453458,0.005020601565718995,0.3725790558124569,0.12806964962446932
91157,112519125,5115,tertiary,和顺街 Heshun St, ,B,0,0,F,F,2,二级道路,22.53043421892869,0.009900523868385424,0.35390824811972704,0.26700056113643
91158,112519128,5122,residential, , ,B,0,0,F,F,3,三级道路,27.73709945519978,0.003993024898463712,0.681139960013226,0.09881464223384086
91159,112519130,5122,residential, , ,B,0,0,F,F,3,三级道路,22.94738819408433,0.006273471069515567,0.380113229020073,0.16373872207525128
91160,112519131,5122,residential, , ,B,0,0,F,F,3,三级道路,25.076940593812736,0.01968597327682618,0.5139526532403078,0.5455913504049409
91161,112519133,5122,residential, , ,B,0,0,F,F,3,三级道路,27.601871237558516,0.0072346812643475185,0.6726410534872614,0.19110428247559288
91162,112519134,5115,tertiary,沿河街, ,B,0,0,F,F,2,二级道路,26.495845113505435,0.029332074815917295,0.6031288406698255,0.8202149194381181
91163,112519135,5122,residential, , ,B,0,0,F,F,3,三级道路,24.777923286147228,0.01753487550768144,0.49515982884446746,0.4843498069370608
91164,112519138,5122,residential, , ,B,0,0,F,F,3,三级道路,22.362524993501555,0.0066735338552396635,0.3433553854358601,0.17512847052519956
91165,112519139,5122,residential, , ,B,0,0,F,F,3,三级道路,25.632701610200357,0.0028346057346637405,0.5488814647815773,0.06583456174122437
91166,112519142,5115,tertiary,四通路, ,B,0,0,F,F,2,二级道路,17.266721619927498,0.004466157470527207,0.023091188346526462,0.11228468036679695
91167,112519143,5115,tertiary,东新路, ,F,0,0,F,F,2,二级道路,23.138804161872606,0.006496409441403261,0.39214345796330513,0.17008575575659207
91252,112648057,5115,tertiary,珠江路, ,F,0,0,F,F,2,二级道路,30.45222575946166,0.009989404909058803,0.8517818945784281,0.2695309956866147
91254,112648062,5122,residential,青岛路, ,F,0,0,F,F,3,三级道路,30.960678716964036,0.018761787038672078,0.8837374600220738,0.5192798584364312
91466,112931165,5124,pedestrian,东一条, ,B,0,0,F,T,4,其他道路,29.905609244780862,0.0075010300782859494,0.8174278023271739,0.19868720720379535
91468,112931167,5153,footway, , ,B,0,0,F,F,4,其他道路,31.050543131213733,0.016005503561127787,0.889385314220262,0.44080873693694606
91470,112931172,5153,footway, , ,B,0,0,F,F,4,其他道路,30.564736859960675,0.04056605254380285,0.8588530616983796,1.0
91472,112931175,5153,footway, , ,B,0,0,F,F,4,其他道路,31.140499266536967,0.022295074956035884,0.8950389329611179,0.6198722204757465
91473,112931178,5115,tertiary,长江路, ,F,0,0,F,F,2,二级道路,30.789101420743467,0.012832260446599133,0.8729540641599413,0.35046681528183515
91474,112931179,5153,footway, , ,B,0,0,F,F,4,其他道路,30.28606652742216,0.03391881021052837,0.8413390165596111,0.9507988283026705
91476,112931184,5153,footway, , ,B,0,0,F,F,4,其他道路,31.254694976743885,0.024900013012551306,0.9022159754722409,0.6940345526149558
91477,112931187,5124,pedestrian, , ,B,0,0,F,F,4,其他道路,30.55495871510319,0.006807049342187504,0.8582385188123559,0.1789296434029913
91478,112931189,5153,footway, , ,B,0,0,F,F,4,其他道路,31.4423719464361,0.021594561186650187,0.9140112135542943,0.5999286618550987
91479,112931192,5153,footway, , ,B,0,0,F,F,4,其他道路,30.784202074641975,0.012556448264890075,0.8726461470308005,0.34261446939714674
91480,112931193,5153,footway, , ,B,0,0,F,F,4,其他道路,31.2009691829889,0.015064012007769733,0.8988393836105617,0.414004564334162
91481,112931194,5153,footway, , ,B,0,0,F,F,4,其他道路,31.37957932026282,0.02497036101069529,0.9100647838100062,0.6960373532537785
91482,112931195,5153,footway, , ,B,0,0,F,F,4,其他道路,30.545213471709353,0.023852021896521275,0.8576260437378362,0.6641983478608487
91483,112931197,5153,footway, , ,B,0,0,F,F,4,其他道路,30.405699797017252,0.015329183589381363,0.8488578021608638,0.42155397337295797
91485,112931200,5153,footway, , ,B,0,0,F,F,4,其他道路,30.31856919997973,0.021869641140345713,0.843381764594963,0.6077601612797321
92028,113548048,5115,tertiary,九台南路, ,B,0,0,F,F,2,二级道路,21.87055219633342,0.021305256342339162,0.312435575285427,0.5916921811834711
92032,113548055,5134,secondary_link,铁北二路, ,F,0,0,F,F,2,二级道路,21.40514573628448,0.0017400965330507973,0.2831854226950179,0.03467399163230541
92036,113548068,5115,tertiary,铁北二路, ,B,0,0,F,F,2,二级道路,25.850444034140516,0.024101916920076752,0.5625662750976728,0.6713128347832932
92037,113548076,5134,secondary_link,铁北二路, ,F,0,0,F,F,2,二级道路,18.937237901905213,0.001957653271444548,0.12808082718280925,0.04086781073350249
92039,113548080,5114,secondary,铁北二路, ,B,0,0,F,F,2,二级道路,18.125773654931358,0.0042131673435752545,0.07708142110849134,0.10508207615284132
92954,114215998,5112,trunk, , ,F,80,1,T,F,1,一级道路,19.32898909293189,0.020900582730001765,0.1527018479434577,0.5801711629500144
92960,114216005,5115,tertiary,亚泰大街（Yà Tài Dàjiē）, ,F,0,-1,F,T,2,二级道路,28.88980366800147,0.10555535935016774,0.7535858261761309,1.0
92962,114216011,5122,residential, , ,B,0,0,T,F,3,三级道路,27.733561773346075,0.029050267820354345,0.68091762159956,0.8121919017883054
92966,114216015,5112,trunk, , ,F,80,1,T,F,1,一级道路,16.841917645320947,0.0029569132968391308,0.0,0.06931664609501582
92972,114216022,5112,trunk,北部快速路, ,F,80,0,F,F,1,一级道路,18.417627582257424,0.003565575110692539,0.09542403695335934,0.08664518850950714
92975,114216026,5115,tertiary,东莱南街, ,F,0,0,F,F,2,二级道路,27.24134301741753,0.006074197742924566,0.6499823532810728,0.15806542992300104
92976,114216027,5115,tertiary,亚泰大街, ,F,0,0,F,F,2,二级道路,23.565301764157212,0.018116748957867333,0.4189482426346578,0.5009156872533854
92979,114216034,5112,trunk,北部快速路, ,F,80,0,F,F,1,一级道路,18.721357431289533,0.020701238055997013,0.11451303805900988,0.5744958395438605
92980,114216035,5122,residential, , ,B,0,0,F,F,3,三级道路,27.29251791738913,0.029130908234740124,0.6531986249950726,0.8144877265126451
93865,114899874,5122,residential,解放大路辅路, ,F,0,0,F,F,3,三级道路,23.615191105712867,0.010606472937141502,0.42208371877949796,0.287098862199484
95425,116530909,5115,tertiary,平阳街 Pingyang St, ,F,0,0,F,F,2,二级道路,27.086518918049023,0.007760608643072231,0.6402518726798252,0.2060773835996407
95439,116535032,5141,service, , ,B,0,0,F,F,3,三级道路,162.29651046846078,4.905134694998724e-06,1.0,0.0
95442,116535035,5115,tertiary,东丰路, ,B,0,0,F,F,2,二级道路,20.277108121303495,0.008487648870837992,0.21228981810361325,0.22677614790049214
95443,116535036,5115,tertiary,裕民路, ,B,0,0,F,F,2,二级道路,19.813266659735017,0.005418884488282334,0.1831380235040933,0.1394087255440055
95444,116535038,5141,service, , ,B,0,0,F,F,3,三级道路,237.97548284962673,1.157611788019699e-05,1.0,0.0
95445,116535039,5141,service, , ,B,0,0,F,F,3,三级道路,294.45674711799757,2.6120908584497556e-05,1.0,0.0
95446,116535041,5141,service, , ,B,0,0,F,F,3,三级道路,167.28002534673226,2.9430808169992347e-06,1.0,0.0
95447,116535042,5141,service, , ,B,0,0,F,F,3,三级道路,210.23679525843957,8.240626287597857e-06,1.0,0.0
95448,116535043,5141,service, , ,B,0,0,F,F,3,三级道路,245.73825656234138,1.2164734043596837e-05,1.0,0.0
95449,116535044,5141,service, , ,B,0,0,F,F,3,三级道路,179.59888344378456,4.708929307198775e-06,1.0,0.0
95450,116535045,5141,service, , ,B,0,0,F,F,3,三级道路,229.6759555770984,1.0595090941197245e-05,1.0,0.0
95451,116535046,5141,service, , ,B,0,0,F,F,3,三级道路,240.83546711998278,1.9816744167794848e-05,1.0,0.0
95452,116535047,5141,service, , ,B,0,0,F,F,3,三级道路,193.90584774808258,6.474777797398316e-06,1.0,0.0
95455,116535050,5115,tertiary,河东路, ,F,0,0,F,F,2,二级道路,18.56475973342273,0.005163439088037357,0.1046710892441414,0.13213621993911487
112741,122948862,5113,primary,解放大路,(Jiĕfàng Dàlù),F,0,0,F,F,1,一级道路,25.583261223244982,0.015937671554583338,0.5457742048126857,0.4388775663333165
112797,122958977,5115,tertiary,重庆路 Chongqing Rd, ,B,0,0,F,F,2,二级道路,28.19769667270066,0.023045500029430805,0.7100878583582594,0.6412367490485107
112940,123148461,5115,tertiary,一匡街 Yikuang St, ,B,0,0,F,F,2,二级道路,18.432260927170276,0.005566092625246569,0.09634372245055677,0.14359972683089967
113121,123398331,5122,residential,燕春胡同, ,B,0,0,F,F,3,三级道路,32.865437645064276,0.003702999751645039,1.0,0.09055765462014632
113122,123398333,5122,residential,通顺胡同, ,B,0,0,F,F,3,三级道路,32.78490312537424,0.01930111640865658,0.9983874421034062,0.534634512943159
113123,123398338,5122,residential,汪清街, ,B,0,0,F,F,3,三级道路,32.71047056108683,0.014935545545799749,0.9937094583408402,0.41034713670453477
113124,123398340,5115,tertiary,东三马路, ,B,0,0,F,F,2,二级道路,33.206927595341355,0.01345823768320678,1.0,0.3682883260915706
113125,123406628,5122,residential,友爱胡同, ,B,0,0,F,F,3,三级道路,33.03258614366643,0.008756430565964611,1.0,0.23442833651859105
113126,123406630,5141,service,北安路南胡同, ,B,0,0,F,F,3,三级道路,32.50564999060962,0.015711931249632115,0.9808367686504499,0.4324507618912202
113127,123406631,5122,residential,北安路南二胡同, ,B,0,0,F,F,3,三级道路,32.56737271088021,0.009555398591245315,0.9847159562878969,0.25717487819211465
113128,123406632,5122,residential,重庆胡同, ,B,0,0,F,F,3,三级道路,29.382836365139383,0.0021113322194904393,0.7845722495743547,0.04524303538012211
113129,123406634,5141,service,清明街东二胡同, ,B,0,0,F,F,3,三级道路,32.61521289219887,0.0034519815342700737,0.9877226455448027,0.08341119047932263
113130,123406636,5115,tertiary,近埠街 Jinbu St, ,B,0,0,F,F,2,二级道路,32.31466322667036,0.00580705162163753,0.9688335145757551,0.15045980593242794
113131,123413711,5114,secondary,远达大街 Yuanda St, ,B,0,0,F,F,2,二级道路,20.403014085888035,0.005272234975572429,0.22020283391296228,0.13523362823509152
113136,123413719,5122,residential, , ,B,0,0,F,F,3,三级道路,27.61542010681692,0.012620519159456117,0.6734925811888626,0.3444385615099624
113137,123413721,5115,tertiary,文化胡同, ,B,0,0,F,F,2,二级道路,28.575220518691292,0.00918976985108011,0.7338147101526736,0.2467654636573042
